,dhlabid,urn,lenker,title,authors,oaiid,city,year,publisher,langs,subjects,ddc,genres,literaryform,kristin,sesamid,isbn10,timestamp,doctype,ocr_creator,ocr_timestamp
0,100028906,URN:NBN:no-nb_digibok_2008041604007,Vis element,I barneflokken,"Hovden , Anders / Nilssen , Jens R.",,Oslo,1945,Fonna,mul / nno / nob,,,short story,Skjønnlitteratur,,,,,,,
1,100439483,URN:NBN:no-nb_digibok_2021032348614,Vis element,Det går av seg sjølv,"Galåen , Johannes",,Oslo,1945,Norli,mul / nno / nob,,,,Skjønn,Skjønn,,,,,,
2,100573157,URN:NBN:no-nb_digibok_2007011101071,Vis element,Hittebarnet,"Baker , Samuel W. / Hagerup , Inger",,Oslo,1945,Norsk barneblads forl.,mul / nno / nob / eng,,,,Skjønn,Skjønn,,,,,,
3,100572304,URN:NBN:no-nb_digibok_2007010901034,Vis element,"Stor kar, son hans far : ei forteljing for gutar frå 7 til 70 år","Hauge , Alfred / Wangensten-Berge , Lars",,Oslo,1945,Ansgar,nno,,,,Skjønn,Skjønn,,,,,,
4,100572635,URN:NBN:no-nb_digibok_2007011100068,Vis element,Noreg,"Hoprekstad , Olav",,,1945,Cappelen,nno,Geografi / Norge / geografi/historie,,,Fag,Fag,,,,,,
5,100507619,URN:NBN:no-nb_digibok_2007012601018,Vis element,Kari Trestakk : forteljing,"Floden , Halvor / Jærn , Albert",,Oslo,1945,Norli,nno,,,,Skjønn,Skjønn,,,,,,
6,100027258,URN:NBN:no-nb_digibok_2008041500032,Vis element,Skuggar og solskin,"Aarak , Tone",,Oslo,1945,Norli,nno,,,,Skjønn,Skjønn,,,,,,
7,100028898,URN:NBN:no-nb_digibok_2008041600004,Vis element,Visor og eventyr : gamle og nye,"Skre , Rolv / Hardeland , Magnus",,Bergen,1945,For bygd og by,nno,,,,Skjønn,Skjønn,,,,,,
8,100027297,URN:NBN:no-nb_digibok_2008041600022,Vis element,Olav Bjåland : idrottsmann og polfarar,"Austbø , Johan",,Oslo,1945,Fonna,nno,Biografier / antarktis / ekspedisjoner / polarekspedisjoner / polfarere / biographies,,,Fag,Fag,,,,,,
9,100027348,URN:NBN:no-nb_digibok_2008042100044,Vis element,Elden : andre soga om Kari Trestakk,"Floden , Halvor / Jærn , Albert",,Oslo,1945,Norli,nno,barnebøker,,,Skjønn,Skjønn,,,,,,
10,100027360,URN:NBN:no-nb_digibok_2008042104030,Vis element,Ungdomen og ungdomsfienden,"Slapgard , Bjarne",,Oslo,1945,Ansgar forlag,nno,Psykologi / Etikk,,,Fag,Fag,,,,,,
11,100029687,URN:NBN:no-nb_digibok_2008042200006,Vis element,Konrad og andre born,"Roti , Hans Christofersen / Nilssen , Jens R.",,Oslo,1945,Fonna,nno,,,,Skjønn,Skjønn,,,,,,
12,100148936,URN:NBN:no-nb_digibok_2013061108160,Vis element,Den tidlege våren,"Mælandsmo , Ingebjørg",,Oslo,1945,Ansgar,nno,,,,Skjønn,Skjønn,,,,,,
13,100187024,URN:NBN:no-nb_digibok_2014012108107,Vis element,Troll-meisteren : ei eventyrsoge,"Tu , Torvald",,Oslo,1945,Norli,nno,nynorske / eventyr / 1940-tallet,,fiction,Skjønnlitteratur,,,,,,,
14,100201618,URN:NBN:no-nb_digibok_2014040908068,Vis element,Gutane på Sandvoll,"Solheim , Anton / Kristoffersen , Kjell .",,Bergen,1945,Lunde,nno,,,,Skjønn,Skjønn,,,,,,
15,100209295,URN:NBN:no-nb_digibok_2014070107001,Vis element,Vesle Hallvard : forteljing for born,"Stalleland , Kristen",,Oslo,1945,Fonna,nno,agderforfattere,,,Skjønn,Skjønn,,,,,,
16,100218360,URN:NBN:no-nb_digibok_2014080508124,Vis element,Arven,"Strompdal , Ivar / Nilssen , Jens R.",,Oslo,1945,Norsk Barneblads forlag,nno,,,fiction,Skjønnlitteratur,,,,,,,
17,100226008,URN:NBN:no-nb_digibok_2014091708167,Vis element,Flagg over Vangen : forteljing om Vangsgutane,"Halse , Leif / Nilssen , Jens R.",,Oslo,1945,Fonna,nno,,,,Skjønn,Skjønn,,,,,,
18,100231780,URN:NBN:no-nb_digibok_2014101408300,Vis element,Skattehola : forteljing,"Okkenhaug , Sigrun / Nilssen , Jens R.",,Oslo,1945,Norsk barneblads forl.,nno,,,,Skjønn,Skjønn,,,,,,
19,100233714,URN:NBN:no-nb_digibok_2014103008111,Vis element,Tom Sawyer og eventyra hans,"Twain , Mark / Horvei , Johannes .",,Oslo,1945,Norsk barneblads Forl.,nno / eng,,,,Skjønn,Skjønn,,,,,,
